cod_agrupacion_int,cod_agrupacion,nom_agrupacion
"0501","0501",ALIANZA FRENTE PARA LA VICTORIA                                                                     
"0502","0502",ALIANZA CAMBIEMOS                                                                                   
"0503","0503",ALIANZA COMPROMISO FEDERAL                                                                          
"0504","0504",ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   
"0506","0506",ALIANZA PROGRESISTAS                                                                                
"0507","0507",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA                                                            
"0509","0509",ALIANZA UNION PARA VIVIR MEJOR                                                                      
"0510","0510",ALIANZA UNION POR CORDOBA                                                                           
"0514","0514",ALIANZA CAMBIEMOS MENDOZA                                                                           
"0517","0517",ALIANZA CAMBIEMOS TIERRA DEL FUEGO                                                                  
"0518","0518",ALIANZA COMPROMISO CON SAN JUAN                                                                     
"0519","0519",ALIANZA ENCUENTRO POR CORRIENTES                                                                    
"0520","0520",ALIANZA FRENTE AMPLIO FORMOSEÑO                                                                     
"0521","0521",ALIANZA FRENTE AMPLIO PODEMOS                                                                       
"0522","0522",ALIANZA FRENTE CAMBIEMOS                                                                            
"0523","0523",ALIANZA CAMBIEMOS RIO NEGRO                                                                         
"0524","0524",ALIANZA FRENTE CIVICO Y SOCIAL                                                                      
"0525","0525",ALIANZA FRENTE PROGRESISTA CIVICO Y SOCIAL                                                          
"0526","0526",ALIANZA FRENTE PROGRESISTA POPULAR                                                                  
"0527","0527",ALIANZA FRENTE RENOVADOR FEDERAL POR LA ESPERANZA                                                   
"0528","0528",ALIANZA FRENTE TERCERA POSICION                                                                     
"0529","0529",ALIANZA FRENTE UNIDOS                                                                               
"0530","0530",ALIANZA CAMBIEMOS CHUBUT                                                                            
"0531","0531",ALIANZA FRENTE UNION CHUBUT SOMOS TODOS                                                             
"0532","0532",ALIANZA FRENTE CIVICO Y SOCIAL                                                                      
"0600","0600",UNION VECINALISTA DIGNIDAD PARA TODOS                                                               
"0612","0612",NUEVO ZARATE                                                                                        
"0641","0641",MOVIPRO                                                                                             
"0647","0647",PROCLAME                                                                                            
"0656","0656",ACCION CIUDADANA                                                                                    
"0664","0664",COMPROMISO PRINGLES                                                                                 
"0665","0665",PARTIDO UNION VECINAL PROV.                                                                         
"0667","0667",INTEGRACION VECINALISTA ROSALEÑA                                                                    
"0670","0670",C.UNIDAD SOCIAL Y POL. 6 DE DICIEMBRE                                                               
"0672","0672",UNION VECINAL DE ADOLFO GONZALES CHAVES                                                             
"0673","0673",CONSTRUCCION VECINAL PARTICIPATIVA                                                                  
"0674","0674",RENOVACION PARA JUNIN                                                                               
"0693","0693",ACCION PINAMARENSE-AP                                                                               
"0697","0697",ACCION POR VILLARINO                                                                                
"0703","0703",ENCUENTRO POR ROJAS                                                                                 
"0705","0705",CON VOCACION POR SAN ISIDRO                                                                         
"0734","0734",VIENTOS DEL SUR-VISUR                                                                               
"0737","0737",PROPUESTA PINAMAR-PROPIN                                                                            
"0739","0739",JUNTOS POR DORREGO                                                                                  
"0742","0742",AGRUPACION VECINAL UNION POR MORON                                                                  
"0748","0748",CRECER                                                                                              
"0750","0750",TODOS VECINOS                                                                                       
"0754","0754",UNION DEL PUEBLO LA PLATA                                                                           
"0758","0758",UNA NUEVA OPORTUNIDAD SUARENSE-UNOS                                                                 
"0768","0768",CAUSA POPULAR BRANDSEN                                                                              
"0769","0769",MIRADA AMPLIA REGIONAL                                                                              
"0774","0774",VECINOS EN ACCION PINAMAR-VENAP                                                                     
"0777","0777",AGR.MUNICIPAL DE INT.PACEÑA                                                                         
"0782","0782",UNIDAD PACEÑA                                                                                       
"0787","0787",SOMOS RODRIGUEZ                                                                                     
"0789","0789",ACUERDO CIUDADANO X TRENQUE LAUQUEN                                                                 
"0792","0792",UNION VECINAL SALLIQUELO                                                                            
"0794","0794",VAMOS                                                                                               
"0799","0799",UNIDOS POR NECOCHEA                                                                                 
"0803","0803",FRENTE MXC                                                                                          
"0821","0821",JUNTOS POR SAN JUAN                                                                                 
"0000","0000",Votos no positivos
